,field,count
0,Medicine,1508
1,Computer Science,1321
2,Psychology,546
3,Communication,419
4,Engineering,250
5,Political Science,226
6,Sociology,186
7,Information Science & Library Science,182
8,Physics,170
9,Mathematics,138
10,Government & Law,135
11,Telecommunications,122
12,Business,109
13,Social Sciences - Other Topics,104
14,Business & Economics,99
15,Science & Technology - Other Topics,99
16,History,93
17,Environmental Sciences & Ecology,83
18,Public,71
19,Environmental & Occupational Health,71
20,Chemistry,51
21,International Relations,50
22,Operations Research & Management Science,50
23,Linguistics,46
24,Materials Science,45
25,Geography,45
26,Geology,45
27,Arts & Humanities - Other Topics,44
28,Economics,41
29,Education & Educational Research,36
